,show_id,show_title,brand,union_id,xmin,ymin,xmax,ymax,gender,season,style,category,collar,sleeve,sleeve_type,fabric,contour,clothes_length,technology,texture,accessories,path,done,ori_w,ori_h,ratio,aesthetic,cv_var,cv_lightness,cv_saturation,caption-base,caption-large,face_count,face_loc,face_col,weight,view,look_at_viewer,color_3,color_2,color_1,prompt_image,prompt_clothes,tgt_w,tgt_h
1251,c82b78f0d9674a060a2b9d6b6d1d8424,2019春夏米兰Marni 玛尼成衣,Marni 玛尼,33_64065ddfef6c3a14e2f2cadf3a21c9b4,0.3245,0.4605,0.6374,0.8021,男装,春夏,极简,中长裤,,,,化纤,A型,超长款,无工艺,纯色,,imgs/show_768/3e9963073855174d2ec365b2c67dcdb1_5acff4069d6dc508ebcd34df5bf8778b.png,True,2570.0,3861.0,0.67,4.877488613128662,207.9026176799766,110.9697344744647,38.86992956090857,a man in a white shirt and white pants,arafed man walking down a runway wearing a white shirt and white pants,1.0,"(79, 407, 174, 312)",3.0,1.0,3.0,True,月岩色#冰川灰#淡蓝色,冰河灰#法意白,黑白灰#绿色,"a full body view photo , a man in a white shirt and white pants , Black Race , Look_at_viewer","Man's Clothes for Spring and Summer , Minimalism Style Achromatic & Green Color Middle Trousers , XL Size , Chemical Fabric , A-Line Contour , No process Making Technology , Solid Color Texture",768,1152
1252,c82b78f0d9674a060a2b9d6b6d1d8424,2019春夏米兰Marni 玛尼成衣,Marni 玛尼,33_64065ddfef6c3a14e2f2cadf3a21c9b4,0.2265,0.1572,0.7362,0.5473,男装,春夏,极简,夹克,翻领,中长袖,基础袖,防护功能,H型,中款,边缘装饰,撞色/渐变,,imgs/show_768/3e9963073855174d2ec365b2c67dcdb1_5acff4069d6dc508ebcd34df5bf8778b.png,True,2570.0,3861.0,0.67,4.877488613128662,207.9026176799766,110.9697344744647,38.86992956090857,a man in a white shirt and white pants,arafed man walking down a runway wearing a white shirt and white pants,1.0,"(79, 407, 174, 312)",3.0,1.0,3.0,True,灰丁香色#云雾色,蒸汽蓝,黑白灰,"a full body view photo , a man in a white shirt and white pants , Black Race , Look_at_viewer","Man's Clothes for Spring and Summer , Minimalism Style Achromatic Color Jacket , M Size , Lapel Collar , Medium Long Sleeve in Basic Sleeves Type, Protection Function Fabric , H-Line Contour , Edge Decoration Making Technology , Bump / Gradient Texture",768,1152
1421,bb758217af6f675c9d1ad61c91828377,2022初秋米兰Marni 玛尼成衣,Marni 玛尼,33_dc87b8d1d558ec39e484513f2e42e82e,0.1325,0.1571,0.7324,0.6913,女装,春夏,都市,大衣 / 风衣,翻驳领,超长袖,基础袖,呢绒,H型,超长款,无工艺,纯色,基础扣饰,imgs/show_768/40123d4bad3341eb8390006c89889012_969d1e869a9a19fc151e24c64eea995f.png,True,2732.0,4098.0,0.67,5.054599761962891,681.6844199442374,87.26810596607349,99.81597448278356,a woman in a blue suit and white shirt,there is a woman that is standing in front of a bus,1.0,"(108, 451, 187, 372)",0.0,1.0,3.0,True,潜水蓝,经典蓝,蓝色,"a full body view photo , a woman in a blue suit and white shirt , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Blue Color Overcoat , XL Size , Revers Collar , Super Long Sleeve in Basic Sleeves Type, Wool Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
1422,bb758217af6f675c9d1ad61c91828377,2022初秋米兰Marni 玛尼成衣,Marni 玛尼,33_dc87b8d1d558ec39e484513f2e42e82e,0.4143,0.3792,0.6845,0.8982,女装,春夏,都市,中长裤,连帽领,中长袖,,化纤,H型,超长款,无工艺,纯色,,imgs/show_768/40123d4bad3341eb8390006c89889012_969d1e869a9a19fc151e24c64eea995f.png,True,2732.0,4098.0,0.67,5.054599761962891,681.6844199442374,87.26810596607349,99.81597448278356,a woman in a blue suit and white shirt,there is a woman that is standing in front of a bus,1.0,"(108, 451, 187, 372)",0.0,1.0,3.0,True,潜水蓝,经典蓝,蓝色,"a full body view photo , a woman in a blue suit and white shirt , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Blue Color Middle Trousers , XL Size , Hoodie Collar , Chemical Fabric , H-Line Contour , No process Making Technology , Solid Color Texture",768,1152
1865,c9b9a783ac346bed79476df23a95cce3,20/21秋冬米兰Marni 玛尼成衣,Marni 玛尼,33_1ecfbac6d35d0c308e021b2f3fb99b9e,0.1282,0.2077,0.8815,0.9754,女装,秋冬,都市,皮大衣,翻驳领,中长袖,拼接袖,麂皮绒,A型,长款,拼接,撞色/渐变,基础扣饰,imgs/show_768/30756e9f1e7ae6e76938abdebe1649dd_b72474946f7ad925354dc5ddeaa4a4d5.png,True,2574.0,3861.0,0.67,5.196242809295654,243.6826556124437,139.49340142144098,55.84790152090567,a model in a brown and black coat and black pants,arafed image of a woman with a painted face on a runway,1.0,"(121, 434, 258, 297)",0.0,1.0,2.0,True,皮肯特沙司色#酱黑色#饼干色#浅金,焦糖咖啡色#深黑#浅棕#淡金色,红色#黑白灰#橙色#黄色,"a mid-length body view photo , a model in a brown and black coat and black pants , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Urban Style Red & Achromatic & Orange & Yellow Color Leather Coat , L Size , Revers Collar , Medium Long Sleeve in Patchwork Sleeves Type, Suede Fabric , A-Line Contour , Splicing Making Technology , Bump / Gradient Texture , Basic Buckle Accessories",768,1152
3096,5418abadff33fab8dd7e9d665bbb96aa,2018春夏白俄罗斯T. EFREMOVA成衣,T. EFREMOVA,33_2f5f9f140554efe7c0c2db29248770d9,0.2788,0.1308,0.77,0.7442,女装,春夏,浪漫/淑女,连衣裙,翻驳领,无袖,无袖,化纤,X型,短款,打结-扭结,纯色,本布腰带,imgs/show_768/d59799c6e47a7d5abea0a68cf3a74c60_16a1bb61bfa93c10f3095ede660507ce.png,True,800.0,1200.0,0.67,5.457370758056641,117.8741172314678,145.78973275643807,55.65534238462095,a model in a brown dress and black shoes,arafed woman in a brown dress and sunglasses on a runway,1.0,"(76, 451, 155, 372)",2.0,1.0,3.0,False,仙粉黛葡萄酒色,褐红色,红色,"a full body view photo , a model in a brown dress and black shoes","Women's Clothes for Spring and Summer , Romance / Lady Style Red Color Dress , S Size , Revers Collar , Sleeveless , Chemical Fabric , X-Line Contour , Knot Kink Making Technology , Solid Color Texture , Belt Of This Cloth Accessories",768,1152
7199,05ecd38dba9e3ecb901cea7fe7566505,18/19秋冬纽约Zac Posen 扎克·珀森成衣,Zac Posen 扎克·珀森,33_521f78c35198a055c0539389864a6341,0.2095,0.089,0.6177,0.7577,女装,秋冬,极简,连衣裙,翻领,中长袖,,化纤,X型,长款,无工艺,纯色,,imgs/show_768/ee710a86590403dadc943e4518d31ed8_5cfd0a062a88156cb68fd3aff9adc3a1.png,True,2200.0,3000.0,0.73,5.8080902099609375,309.83239038979474,54.87616871021413,67.41304524739583,a woman in a red dress is leaning against a wall,arafed woman in a red dress leaning against a wall,1.0,"(2, 330, 97, 235)",0.0,1.0,3.0,False,大黄果色#滑板车红,葡萄酒红#极品红,红色,"a full body view photo , a woman in a red dress is leaning against a wall , White Race","Women's Clothes for Autumn and Winter , Minimalism Style Red Color Dress , L Size , Lapel Collar , Chemical Fabric , X-Line Contour , No process Making Technology , Solid Color Texture",768,1152
7218,de14e32438984f3acc918218e80b23f5,2018春夏纽约Zac Posen 扎克·珀森成衣,Zac Posen 扎克·珀森,33_67b37483978d2f7e28f6696cd87b950e,0.1764,0.2274,0.8049,0.9475,女装,春夏,精致/奢华,连衣裙,圆形领,中长袖,基础袖,雪纺,X型,短款,绣花,植物/花卉,,imgs/show_768/c9ef16cd1bd3b4b113c4f9782d260b43_9bc7558f45b7b28c10866639ab660d89.png,True,2732.0,4098.0,0.67,5.784691333770752,1513.985862642895,178.7008994773582,129.15117617006655,a woman in a black floral dress with sheer sleeves,arafed woman in a black dress with a floral pattern,1.0,"(66, 475, 202, 339)",2.0,1.0,2.0,True,踢踏舞鞋色#爪哇色,深黑#咖啡色,黑白灰#大地色,"a mid-length body view photo , a woman in a black floral dress with sheer sleeves , Look_at_viewer","Women's Clothes for Spring and Summer , Refined / Luxurious Style Achromatic & Earth Tone Color Dress , S Size , Round Neck Collar , Medium Long Sleeve in Basic Sleeves Type, Chiffon Fabric , X-Line Contour , Embroidered Making Technology , Plants / Flowers Texture",768,1152
9966,7d19c71de49f05d5c9d576d4324e5c59,2018春夏伦敦Pronounce成衣,Pronounce,33_c4ba6324e6ab79f521986e359525a67f,0.3505,0.5129,0.6414,0.9199,男装,秋冬,日常休闲,中长裤,,,,化纤,常规型,超长款,无工艺,纯色,,imgs/show_768/2382e7c47ac97cf445000cc6daf7d510_9bdef35127fd068be3c613830972cf32.png,True,2114.0,3184.0,0.66,5.358945846557617,152.35997574265917,168.03665839301215,26.153156421802663,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed image of a man walking down a runway wearing a maroon outfit,1.0,"(89, 435, 183, 341)",0.0,1.0,3.0,False,陈年波特酒色,褐红色,红色,"a full body view photo , a model walks the runway at the maison , White Race","Man's Clothes for Autumn and Winter , Daily Leisure Style Red Color Middle Trousers , XL Size , Chemical Fabric , Conventional Contour , No process Making Technology , Solid Color Texture",768,1152
9967,7d19c71de49f05d5c9d576d4324e5c59,2018春夏伦敦Pronounce成衣,Pronounce,33_c4ba6324e6ab79f521986e359525a67f,0.2597,0.1602,0.7365,0.5697,男装,秋冬,日常休闲,套衫,立领,超长袖,基础袖,化纤,常规型,中款,无工艺,纯色,,imgs/show_768/2382e7c47ac97cf445000cc6daf7d510_9bdef35127fd068be3c613830972cf32.png,True,2114.0,3184.0,0.66,5.358945846557617,152.35997574265917,168.03665839301215,26.153156421802663,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed image of a man walking down a runway wearing a maroon outfit,1.0,"(89, 435, 183, 341)",0.0,1.0,3.0,False,葡萄酒红色#陈年波特酒色,葡萄酒红#褐红色,红色,"a full body view photo , a model walks the runway at the maison , White Race","Man's Clothes for Autumn and Winter , Daily Leisure Style Red Color Pullover , M Size , Stand Collar , Super Long Sleeve in Basic Sleeves Type, Chemical Fabric , Conventional Contour , No process Making Technology , Solid Color Texture",768,1152
